ticker,rebalance_date,status,fingpt_after_sentiment_score,confidence_score,materiality_score,n_news,positive_hits,negative_hits,source,composite_signal
TSLA,2026/1/2,ok,-0.6,0.7,0.8,12,strong; expansion; exceeded expectations; bestselling,weakening demand; miss; misses; weak; weakening; delay; delays; concerns,news_keyword_score,-0.336
GOOGL,2026/1/2,ok,0.6,0.7,0.8,12,beat; growth; surge; rally; cloud growth; ai comeback; strengthening,slow,news_keyword_score,0.336
AMAT,2026/1/2,ok,0.3,0.7,0.8,12,strong; growth; raised; expansion,risk,news_keyword_score,0.168
AMD,2026/1/2,ok,-0.2,0.7,0.8,12,strong; growth; surge; partnership,cut; risk; concerns; concern; competition,news_keyword_score,-0.112
CSCO,2026/1/2,ok,0.26,0.7,0.8,12,strong; growth; rally; expansion,sell,news_keyword_score,0.1456
TSLA,2026/1/9,ok,-0.44,0.7,0.8,12,surge,concerns; concern; decline; sell; slow,news_keyword_score,-0.2464
GOOGL,2026/1/9,ok,-0.1,0.7,0.8,12,record; surge; rally,weak; concerns; concern,news_keyword_score,-0.056
AMAT,2026/1/9,ok,-0.04,0.7,0.8,12,strong; growth; raises; rally; profit,risk; fell; falls; sell; competition,news_keyword_score,-0.0224
AMZN,2026/1/9,ok,0.46,0.7,0.8,12,strong; growth; raises; raised; surge; partnership; launch,concerns; concern,news_keyword_score,0.2576
TXN,2026/1/9,ok,0.06,0.7,0.8,12,strong; record; rally,cut; dipped,news_keyword_score,0.0336
TSLA,2026/1/16,ok,-0.24,0.7,0.8,12,strong; growth; raises; profit,cut; fell; decline; sell; strong sell,news_keyword_score,-0.1344
AMAT,2026/1/16,ok,0.46,0.7,0.8,12,beat; strong; growth; upgrade; raises; record; surge; rally,risk; concerns; concern; sell,news_keyword_score,0.2576
GOOGL,2026/1/16,ok,0.6,0.7,0.8,12,beat; strong; growth; upgrade; raises; raised; record; surge,risk; challenging,news_keyword_score,0.336
COST,2026/1/16,ok,-0.18,0.7,0.8,12,strong; growth; record,miss; cut; sell; slow,news_keyword_score,-0.1008
AMD,2026/1/16,ok,0.26,0.7,0.8,12,strong; growth; raised; surge,miss,news_keyword_score,0.1456
TSLA,2026/1/23,ok,0.34,0.7,0.8,12,growth; surge; rally; partnership; launch,sell,news_keyword_score,0.1904
AMAT,2026/1/23,ok,0.6,0.7,0.8,12,beat; beats; strong; growth; raises; raised,sell,news_keyword_score,0.336
GOOGL,2026/1/23,ok,0.34,0.7,0.8,12,growth; raised; expansion; partnership; cloud growth,miss,news_keyword_score,0.1904
AMD,2026/1/23,ok,0.24,0.7,0.8,12,growth; raised; surge; rally; partnership,weak; falls,news_keyword_score,0.1344
COST,2026/1/23,ok,0.26,0.7,0.8,12,strong; growth; rally; profit,sell,news_keyword_score,0.1456
